License Type	Source URL	Degree Required Status	Supporting Evidence	Reasoning	Confidence Score	Elo Rating
Boiler Operator License	https://regulations.justia.com/states/new-jersey/title-12/chapter-90/subchapter-8/section-12-90-8-13/	No Degree Found	The text mentions only that an applicant may submit "satisfactory proof of completion of formal education or academic study embracing such equipment" as a substitute for experience; it does not specify any associate's, bachelor's, or graduate degree requirement.	The regulation discusses alternative ways to meet experience requirements but nowhere states that a college degree of any level is mandatory for initial licensure.	0.85	982
Boiler Operator License	https://regulations.justia.com/states/new-jersey/title-12/chapter-90/subchapter-8/section-12-90-8-5/	No Degree Found	The eligibility criteria list only: "Be able to comply with N.J.A.C. 12:90-8.4; or Have had intensive training for 30 full working days..."—no mention of an associate's, bachelor's, or graduate degree.	The provided regulation specifies training and compliance requirements but does not reference any college degree; therefore, no degree requirement is found for initial licensure based on the text.	0.85	981
Boiler Operator License	https://www.nj.gov/labor/safetyandhealth/assets/PDFs/Forms/boiler_alert.pdf	No Degree Found	“N.J.A.C. 12:90-8.4 ... an applicant must have had at least three-months of experience as a helper or assistant to a licensed operator ...” ; “N.J.A.C. 12:90-8.5, the applicant can receive intensive training for six weeks (30-full working days) in a program ... approved by the MIBBPVC.”	The only eligibility criteria cited are specific experience or a short intensive training program; the text never references any requirement for an associate’s, bachelor’s, or graduate degree.	0.9	978
Boiler Operator License	https://www.jerseycitynj.gov/common/pages/DownloadFileByUrl.aspx?key=Lync8tc1tcbc9W32BJK%2BRzLkKFgbeu3hX5vXnKbphZrkHtaXVnf0O7TbR8sc8kLoBPEQEm7smYymWH15Ea22D%2B5hmHkocOfrjuBhg42%2BN24U2hyRVdlcUiEzWk5s62DS921kWVyXboo92uqzTMZj%2F1D48a9m1yf2TvFIBbicWhBU0NeJ	No Degree Found	"Required Educational Background: High School Diploma or GED required."	The source specifies only a high school diploma or GED for eligibility, with no mention of any associate, bachelor’s, or graduate degree for the Boiler Operator (Black Seal) license.	0.9	888
Boiler Operator License	https://www.ziprecruiter.com/c/SEEC-LLC/Job/Blue-Seal-Boiler-Operator-Part-Time/-in-Trenton,NJ?jid=d997045a0a493726	No Degree Found	"High school diploma or equivalent; additional vocational or technical training in boiler operations is a plus." The text lists no associate, bachelor’s, or graduate degree requirement for the Blue Seal Boiler Operator License.	The only educational prerequisite mentioned is a high school diploma; no college-level degree is required or implied for licensure.	0.9	848
Diagnostic Radiologic Technologist License	https://nj.gov/dep/rpp/tec/diagrt.htm	No Degree Found	“Educational Requirement: Completion of a 24 month course of study in a diagnostic radiography program approved by the Radiologic Technology Board of Examiners… ”; “Complete at least a high school level education in the United States or its equivalent;”	The text only mandates a board-approved 24-month training program and a high school education; it never mentions or implies the need for an associate’s, bachelor’s, or graduate degree.	0.85	1,228.00
Professional Planner	https://www.njconsumeraffairs.gov/Adoptions/planado_100603.pdf	No Degree Found	"iii. Graduation from a secondary school and at least eight years of professional planning experience;"	One of the alternative pathways to licensure allows applicants who have only graduated from secondary school (high school) to qualify, so a college degree is not mandatory for initial licensure.	0.9	1,228.00
Registered Architect	https://www.pa.gov/agencies/dos/department-and-offices/bpoa/boards-commissions/architects/architect-requirements-snapshot.html	No Degree Found	"Applicant shall submit evidence ... that the applicant holds a professional degree in architecture... *In lieu of a professional degree in architecture, the board may accept evidence of at least six years' practical experience...*"	Although a professional architecture degree is one option, the text explicitly allows licensure with six years of supervised practical experience instead, eliminating any mandatory college‐degree requirement.	0.85	1,228.00
Certified Alcohol and Drug Counselor	https://www.njpn.org/certifications-and-trainings/cadc/certified-alcohol-and-drug-counselor-(cadc)	No Degree Found	"The CADC requires a bachelor’s degree or an associate degree or a high school diploma or a certificate of high school equivalency."  |  "Qualifications - GED/HS diploma"	The text explicitly states that a high school diploma or equivalent is accepted in lieu of any college degree, making a college degree optional rather than mandatory for CADC certification.	0.85	1,216.00
Certified Alcohol and Drug Counselor	https://law.justia.com/codes/new-jersey/title-45/section-45-2d-5/	No Degree Found	“Each applicant shall furnish evidence satisfactory to the committee that he has received a high school diploma or a certificate of high school equivalency” and then lists training, experience, and examination requirements without referencing any associate’s, bachelor’s, or graduate degree.	The statute explicitly mentions only a high-school level education and additional training hours; it contains no language requiring or implying the necessity of any college degree for initial certification.	0.9	1,193.00
Certified Alcohol and Drug Counselor	https://careplusnj.org/wp-content/uploads/2017/01/Requirements-for-Certification-CADC.pdf	No Degree Found	“A bachelor’s degree, associate’s degree, high school diploma or a certificate of high school equivalency.”	The certification allows applicants to qualify with only a high school diploma or GED, so no college degree is mandatory for initial CADC licensure.	0.88	1,190.00
Certified Alcohol and Drug Counselor	https://catalog.ccm.edu/noncredit/career-professional-programs/health-occupations/alcohol-drug-counselor-cadc-certificate-program/alcohol-drug-counselor-cadc-certificate-program.pdf	No Degree Found	"PREREQUISITE: High School diploma or GED." ... "To become a Certified Alcohol and Drug Counselor (CADC), you need to complete the following: a. 270 hours of classroom training..." (no mention of college degrees)	The text explicitly states that only a high school diploma or GED is required before beginning the CADC training, and all other listed requirements involve hours of training and supervised experience, with no associate, bachelor’s, or graduate degree mentioned.	0.9	1,182.00
Respiratory Care Practitioners License	https://www.njconsumeraffairs.gov/regulations/Chapter-44F-State-Board-of-Respiratory-Care.pdf	No Degree Found	13:44F-4.1(b)1: "Has a high school diploma or its educational equivalent." 13:44F-4.1(b)2: "Has successfully completed a training program accredited by the Committee on Accreditation for Respiratory Care (CoARC) or its successor;" (no degree level specified).	The regulation lists only a high school diploma (or equivalent) plus completion of a CoARC-accredited training program as prerequisites; it never mandates an associate’s, bachelor’s, or graduate degree for initial licensure.	0.9	1,228.00
Counselor License	https://www.nj.gov/humanservices/dmhas/initiatives/workforce/FAQs_Becoming_LCADC_CADC.pdf	Explicit Graduate/Professional	"the LCADC (N.J.A.C. 13:34C‐2.3b) must possess a master’s degree or a doctorate in addictions or a counseling‐related field from an accredited institution of higher learning."  …  "Received a master’s degree in counseling or addictions or a counseling‐related field…"  …  "An LCADC also requires a master’s degree in counseling, addictions or a counseling‐related area…"	The text repeatedly states that to obtain the Licensed Clinical Alcohol and Drug Counselor (the counselor license referenced) the applicant must hold at least a master’s degree, an explicit graduate-level requirement.	0.96	1,227.00
Emergency Medical Technician	https://www.nj.gov/health/ems/documents/reg-enforcement/njac841ar.pdf	No Degree Found	8:41A-2.2(a)2: "Possession of a high school diploma or its equivalent;" 8:41A-4.1(b)2: "Possession of a high school diploma or its equivalent;" 8:41A-4.1(b)4: licensure hinges on completion of EMT-Paramedic training and exam, with no mention of any college degree.	Both the enrollment criteria for the training program and the certification requirements list only a high school diploma (or GED) plus specific EMT/CPR certifications and completion of the training program; the text contains no requirement for an Associate’s, Bachelor’s, or higher degree for initial EMT licensure.	0.9	1,227.00
Certified Alcohol and Drug Counselor	https://certbd.org/blog/	No Degree Found	The SourceText describes required legal standards courses (3- or 6-hour) and mentions a 270-hour training requirement but never states that an Associate’s, Bachelor’s, or Graduate degree is required for CADC licensure; the only degree reference is to “persons holding a Master’s degree” who may need extra hours, which is optional and not a stated prerequisite.	The text outlines continuing-education hours and application procedures but provides no explicit or implicit mandate for any college degree for initial Certified Alcohol and Drug Counselor licensure.	0.85	1,160.00
Certified Alcohol and Drug Counselor	https://www.ccm.edu/programs/certified-alcohol-and-drug-counselor-cadc/	No Degree Found	"Prerequisite: High School diploma or GED" (the only stated educational requirement for entering the CADC training).  No other portion of the SourceText mentions any associate, bachelor’s, or graduate degree requirement for CADC certification.	The SourceText explicitly lists a high school diploma/GED as the prerequisite and nowhere states or implies that an associate, bachelor’s, or higher degree is required for initial CADC licensure; therefore, no college degree requirement is found.	0.9	1,132.00
Asbestos Safety Technician	https://www.nj.gov/dca/divisions/codes/forms/pdf_asbestos/astappl.pdf	No Degree Found	"1. At least 24 college credits in academic sciences ... or one year of work experience which included performing environmental assessment activities, which may be substituted for this education requirement;"	The regulation specifies only a requirement for 24 college credits (which is less than any degree) and even allows work experience as a substitute, with no mention of needing an associate's, bachelor's, or higher degree.	0.9	1,225.00
Certified Alcohol and Drug Counselor	https://www.ocean.edu/programs-courses/degrees-certificates/addictions-counseling-caddt/	No Degree Found	"There is no requirement state requirement for a bachelor’s or master’s degree for those who apply for a CADC."; "Certified Alcohol and Drug Counselor (CADC) can be attained with certification exam and required number of work-based learning hours."	The text explicitly states that neither a bachelor’s nor a master’s degree is required, and it only references specific course hours and work-based learning for credentialing, indicating no college degree requirement.	0.9	1,105.00
Certified Alcohol and Drug Counselor	https://www.njpn.org/certifications-and-trainings/lcadc/licensed-clinical-alcohol-and-drug-counselor-(lcadc)	No Degree Found	The only explicit degree language in the text is: "A master’s level degree in a related field is required to earn an LCADC credential." No associate’s, bachelor’s, or graduate degree requirement is stated anywhere for the Certified Alcohol and Drug Counselor (CADC).	The source text specifies a master’s degree solely for the LCADC license. It provides no similar requirement for the CADC, detailing only coursework, internship hours, and supervision; therefore, no college degree is indicated for initial CADC licensure.	0.83	1,094.00
Certified Alcohol and Drug Counselor	https://wellspringprevention.org/blog/cadc-certification-guide/	No Degree Found	“Additionally, they must have either a high school diploma, associate’s degree, or bachelor’s degree.”	The text explicitly states that a high school diploma alone satisfies the educational prerequisite, so no college degree is required for initial CADC certification.	0.9	1,088.00
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9521	No Degree Found	"Undergraduate's Degree: Bachelor’s, Associate’s Degree, or a High School Diploma. Register for ALL 5 DOMAINS."	The text explicitly states that individuals with only a high school diploma may pursue the certification pathway, indicating that no college degree (associate’s, bachelor’s, or graduate) is strictly required for initial CADC licensure.	0.86	1,081.00
Certified Alcohol and Drug Counselor	https://addiction-counselor.org/how-to-become/new-jersey/	No Degree Found	"The CADC does not require that you have any special degree, or any degree whatsoever. Rather, New Jersey only asks that you complete 270 hours of education in the field of drug and alcohol addiction."	The text explicitly states that the Certified Alcohol and Drug Counselor (CADC) credential in New Jersey does not require any college degree, only specified training hours.	0.9	1,071.00
Certified Alcohol and Drug Counselor	https://www.hccc.edu/programs-courses/academic-pathways/social-science/hum-service-presocial-work-addiction-cert.html	No Degree Found	"The Proficiency Certificate in Addictions Counseling is open to any student who has earned at minimum a high school diploma or equivalent..."; "Upon completion of this program, graduates have fulfilled the educational requirements to become a Certified Alcohol and Drug Counselor."	The source states that meeting the CADC educational requirement can be achieved through a proficiency certificate program accessible to high-school graduates, with no mention of any associate, bachelor’s, or graduate degree being required.	0.86	1,063.00
Professional Planner	https://www.njconsumeraffairs.gov/regulations/Chapter-41-State-Board-of-Professional-Planners.pdf	No Degree Found	"iii) Graduation from a secondary school and at least eight years of professional planning experience;"	Although the rule lists options involving graduate or undergraduate degrees, it also offers a complete alternative based solely on secondary-school graduation plus eight years of experience, meaning a college degree is not mandatory for initial licensure.	0.85	1,225.00
Certified Alcohol and Drug Counselor	https://www.humanservicesedu.org/new-jersey-substance-abuse-counseling/	No Degree Found	“You will need to show that you have a High School diploma, GED or a college degree.”	The text explicitly allows applicants to qualify with only a high school diploma or GED; no associate’s, bachelor’s, or higher degree is mandated for the Certified Alcohol and Drug Counselor credential.	0.88	1,036.00
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9509	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The text explicitly states that applicants with only a high-school diploma may proceed, indicating no college degree (associate’s or higher) is required for initial CADC licensure.	0.85	1,012.00
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/	No Degree Found	"Undergraduate's Degree Bachelor’s, Associate’s Degree, or a High School Diploma."	The text indicates that applicants may hold as little as a high school diploma, so a college degree is not mandated for CADC licensure based on the provided information.	0.85	1,011.00
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=10063	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The text explicitly lists a high school diploma alongside college degrees as acceptable backgrounds, indicating that a college degree is not mandatory for initial CADC licensure requirements.	0.85	990
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9522	No Degree Found	"Undergraduate's Degree – Bachelor’s, Associate’s Degree, or a High School Diploma."	The text states that applicants with only a high school diploma may pursue the certification, indicating no college degree is mandated for initial licensure.	0.85	980
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9508	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The text explicitly states that applicants may have as little as a high-school diploma, indicating no mandatory college degree is required for CADC licensure training.	0.86	980
Certified Alcohol and Drug Counselor	https://www.njcu.edu/academics/schools-colleges/william-j-maxwell-college-arts-sciences/departments/sociology-anthropology/certificate-alcohol-drug-studies-cads	No Degree Found	The CADS satisfies the academic requirement for New Jersey’s Certified Alcohol & Drug Counselor (CADC) credential... [list of 18-credit certificate courses]. No statement in the text specifies that an associate’s, bachelor’s, or graduate degree is required for initial licensure.	The source outlines a certificate (18 academic credits) that fulfills the CADC academic requirement but never states that any college degree must be earned; therefore, no degree requirement is identified.	0.85	976
Certified Alcohol and Drug Counselor	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-certificates/addiction-counselor-training-act-certificate/prospective-act-students	No Degree Found	“The ACT Certificate Program provides a 6-course curriculum that … covers … the educational hours needed for the CADC/LCADC.”  /  “Both the CADC and LCADC require 3000 hours of related work experience.”  /  “Those who already have the CADC … have already met the education hours and supervision requirements for the CADC.”	The text specifies coursework hours and supervised experience for the CADC but nowhere states that an associate’s, bachelor’s, or graduate degree is required for the credential, so no college degree requirement can be inferred.	0.88	975
Certified Alcohol and Drug Counselor	https://www.nj.gov/humanservices/dmhas/initiatives/workforce/	Could Not Determine	The provided text offers only general statements about training initiatives and references external resources for certification requirements, but it includes no specific educational prerequisites (e.g., "bachelor's degree," "associate's degree," etc.) for the Certified Alcohol and Drug Counselor credential.	Because the excerpt lacks any explicit or implicit mention of degree-level education requirements for initial CADC licensure, it is impossible to ascertain the minimum degree based solely on this source.	0.35	966
Certified Alcohol and Drug Counselor	https://www.montclair.edu/counseling/academic-programs/certified-alcohol-and-drug-counseling/	No Degree Found	The SourceText outlines a certificate program that "fulfill[s] the educational requirements" and notes that students "may apply to matriculate concurrently in the MA in Counseling Program"—but nowhere states a required Associate's, Bachelor's, or Graduate degree for CADC eligibility.	The text describes a certificate path and references an optional MA program, but does not state that any college degree is mandatory for initial licensure as a Certified Alcohol and Drug Counselor.	0.86	962
Certified Alcohol and Drug Counselor	https://newjersey.mylicense.com/eGov/INSTRUCTIONS%20FOR%20ANSWERING%20QUESTIONS.htm	No Degree Found	The SourceText discusses Certified Alcohol and Drug Counselors only in terms of continuing education hours needed for renewal (e.g., “All certified alcohol and drug counselors shall complete 60 contact hours of continuing education for certification renewal.”). It contains no mention of any Associate’s, Bachelor’s, or Graduate degree requirement for initial certification.	The provided official text details renewal continuing-education obligations but never references any college-level degree prerequisite; therefore, no degree requirement can be inferred from the source.	0.86	959
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9520	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The source text allows applicants with only a high school diploma to pursue the CADC educational pathway, so no college degree is required for initial licensure.	0.88	954
Certified Alcohol and Drug Counselor	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-certificates/addiction-counselor-training-act-certificate/program-overview-and-requirements	No Degree Found	The text explains that the six ACT courses "will provide all the education hours needed for LCADC licensing," but nowhere states that a specific associate’s, bachelor’s, or master’s degree is required for the Certified/Clinical Alcohol and Drug Counselor license; references to degrees (e.g., "MSW students" or "post-graduates") only describe who may enroll in this certificate program, not licensure prerequisites.	The SourceText outlines coursework and practicum hours that satisfy licensing education hours but does not list any mandatory college-degree requirement for obtaining the counselor credential, so no degree requirement can be concluded.	0.82	947
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9510	No Degree Found	"Undergraduate's Degree, Bachelor’s, Associate’s Degree, or a High School Diploma."	The source allows individuals holding only a high-school diploma to pursue the CADC pathway, indicating that no college degree is required.	0.85	943
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9517	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The source explicitly states that applicants may hold just a high school diploma, meaning no college degree is required for initial CADC licensure.	0.85	935
Certified Alcohol and Drug Counselor	https://middlesexcollege.edu/academics/social-behavioral-sciences-and-human-services/addiction-studies-certificate/	No Degree Found	The text lists only "270 hours of approved alcohol and drug education" and "300 hours of supervised practical training" as requirements and does not mention any associate’s, bachelor’s, or graduate degree.	The SourceText specifies training hours and practical experience needed for CADC certification but contains no explicit or implicit reference to an associate, bachelor, or graduate degree requirement.	0.85	926
Certified Alcohol and Drug Counselor	https://www.addiction-counselors.com/states/new-jersey-substance-abuse-counselor/	Explicit Bachelor's	“Certified Alcohol and Drug Counselor (CADC), a bachelor’s level credential”	The text explicitly labels the CADC as a “bachelor’s level credential,” which signals that a bachelor’s degree (or equivalent bachelor-level education) is required for initial licensure.	0.7	923
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9511	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The text explicitly states that applicants may hold only a high school diploma, indicating that no college degree is required for initial CADC licensure.	0.9	916
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9515	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The text states that applicants may possess only a high school diploma, indicating that no college degree (associate, bachelor’s, or graduate) is required for initial CADC licensure.	0.85	907
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9518	No Degree Found	“Bachelor’s, Associate’s Degree, or a High School Diploma.”	The text lists a high school diploma as an acceptable educational level for entering the CADC training path, indicating that no college degree (associate’s or higher) is strictly required for initial licensure.	0.86	897
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9516	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The source explicitly lists a high school diploma as an acceptable educational level alongside college degrees, indicating that no college degree is required for CADC licensure; therefore, the minimum credential does not rise to an associate’s or higher.	0.85	894
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9514	No Degree Found	"Bachelor’s, Associate’s Degree, or a High School Diploma."	The text explicitly lists a high school diploma as an acceptable educational level for pursuing the CADC training, indicating no college degree is mandated for initial licensure.	0.85	880
Certified Alcohol and Drug Counselor	https://www.co.bergen.nj.us/component/content/article/177-health-services/885-substance-abuse-counselor-1-county-of-bergen-department-of-health-services-division-of-mental-health-and-addiction-services?Itemid=783	No Degree Found	"Education Requirements: - Licensed Clinical Alcohol and Drug Counselor (LCADC) or New Jersey Certified Alcohol and Drug Counselor (NJ CADC)."  No mention of any associate's, bachelor's, or graduate degree is provided.	The text only states that the applicant must possess the specified license/certification but gives no indication that any college degree is required to obtain it.	0.9	829
Certified Alcohol and Drug Counselor	https://bergen.edu/ce/courses-programs/health-professions/alcohol-and-drug-counseling/	No Degree Found	“The courses in the Certified Alcohol and Drug Counselor Certificate program fulfill the educational requirements…”, “Bergen Community College’s CADC approved program… delivered through a series of courses over five domains.”  No mention is made of an associate, bachelor’s, or graduate degree requirement.	The source describes a certificate program and specifies required coursework and externship hours for CADC eligibility but nowhere states that any college degree is required, indicating licensure can be pursued without earning a degree.	0.87	820
Certified Alcohol and Drug Counselor	https://www.montclair.edu/graduate/programs-of-study/certified-alcohol-and-drug-counselor/	Explicit Bachelor's	"The Office of Graduate Admissions requires the equivalent of a U.S. bachelor’s degree in order to be eligible to apply for a graduate program."	The source text explicitly states that a U.S. bachelor’s degree (or equivalent) is required for admission to the Certified Alcohol and Drug Counselor graduate certificate program, which it presents as satisfying CADC educational requirements. Thus, the minimum stated educational prerequisite is a bachelor’s degree.	0.68	817
Certified Alcohol and Drug Counselor	https://counselored.tcnj.edu/licensure-information/lcadc/?full-site=true	Implicit Bachelor's	"The educational requirements for the LCADC include a combination of graduate credit hours in counseling..."	The text specifies that applicants must complete graduate-level credit hours, which inherently requires prior completion of an undergraduate degree, but it does not explicitly state that a master’s or other graduate degree must be awarded.	0.65	804
Certified Alcohol and Drug Counselor	https://counselored.tcnj.edu/licensure-information/lcadc/	Implicit Bachelor's	“The educational requirements for the LCADC include a combination of graduate credit hours in counseling ...” ; “For further information about the graduate level coursework at The College of New Jersey …”	The text states that licensure requires completing graduate-level coursework, which presumes the applicant is eligible to take graduate credits—something normally contingent on already holding a bachelor’s degree—yet it never explicitly calls for a specific graduate or undergraduate degree. Hence the requirement is classified as implicitly requiring at least a bachelor’s degree.	0.7	794
Certified Alcohol and Drug Counselor	https://careplusnj.org/cadc-lcadc-training-sessions/?add-to-cart=9519	No Degree Found	“Undergraduate's Degree: Bachelor’s, Associate’s Degree, or a High School Diploma.”	The source states that individuals with just a high school diploma (no college degree) may pursue the CADC pathway, so no associate’s, bachelor’s, or graduate degree is required for initial licensure.	0.85	791
Certified Alcohol and Drug Counselor	https://www.legacycounselingllc.net/careers/	No Degree Found	“LCADC: Successfully completed the following requirements to be a certified alcohol and drug counselor… 1. Three hundred hours of supervised practical training… 2. Two years of supervised work experience… 3. Two hundred seventy hours of alcohol and drug education… 4. Attended the 30 alcohol and drug abuse self-help group meetings… 5. A written examination… 6. An oral examination…” (no degree referenced anywhere in this list).	The enumerated prerequisites list only training hours, work experience, examinations, and meetings; it does not specify or imply any college degree requirement.	0.9	785
Certified Alcohol and Drug Counselor	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-certificates/addiction-counselor-training-act-certificate	Could Not Determine	"The ACT Certificate Program provides a 6-course curriculum that covers all ... educational hours needed for the CADC/LCADC." ; "Who can apply? – Clinicians with a master’s or doctoral degree … MSW students …"	The source text is centered on a Rutgers training program that happens to cover CADC requirements, but its admission criteria (master’s/doctoral students) pertain to that program, not expressly to the CADC license itself. No statement directly ties a specific degree level to the Certified Alcohol and Drug Counselor credential, making the educational requirement for the license unclear from this text alone.	0.4	779
Certified Alcohol and Drug Counselor	https://counselored.tcnj.edu/licensure-information/lcadc/?full-site=false	Could Not Determine	The source text only describes educational requirements for the "Licensed Clinical Alcohol and Drug Counselor (LCADC)", not for the "Certified Alcohol and Drug Counselor" license, and provides no information about CADC degree prerequisites.	Because the text does not address the Certified Alcohol and Drug Counselor credential at all, no conclusion about its degree requirement can be drawn from this source.	0.25	759
Professional Nurse	https://www.njconsumeraffairs.gov/nur/Pages/Nurse-Licensure.aspx	No Degree Found	“Have graduated from a board-approved education program;” (no mention of associate, bachelor’s, or graduate degree)	The text only requires completion of a board-approved nursing education program without specifying any college degree level, so no degree requirement can be inferred.	0.85	1,224.00
Registered Environmental Health Specialist	https://www.nj.gov/health/lh/documents/license1.pdf	Explicit Bachelor's	"A baccalaureate degree from an accredited college or university... with a minimum of 32 credits in the biological sciences, physical sciences, environmental sciences, and mathematics;"	The regulation expressly requires applicants for the Registered Environmental Health Specialist license to hold a baccalaureate (bachelor's) degree, meeting the criteria for an explicit bachelor's requirement.	0.95	1,224.00
Certified Alcohol and Drug Counselor	https://www.nj.gov/humanservices/dmhas/initiatives/workforce/FAQs_Becoming_LCADC_CADC.pdf	No Degree Found	"Received a bachelor's degree or an associate's degree or a high school diploma or a certificate of high school equivalency" (Education N.J.A.C. 13:34C-2.3b-1 (i))	The regulation explicitly allows applicants to qualify with only a high school diploma or GED; therefore no college degree (Associate's, Bachelor's, or higher) is mandatory for CADC licensure.	0.85	1,223.00
Interpreter Certification	https://www.nj.gov/education/certification/edsrvs/endorsementsedsrvs/3469.shtml	Explicit Associate's	Hold an associate or higher degree from an accredited college or university.	The licensure criteria clearly state an associate (or higher) degree is required, making the minimum explicit educational requirement an associate’s degree.	0.93	1,223.00
Certified Court Reporter	https://law.justia.com/codes/new-jersey/2018/title-45/chapter-15b/section-45-15b-3/	No Degree Found	"(a) ... is a graduate of a high school or has had an equivalent education;" – no mention of associate, bachelor's, or graduate degree requirements.	The statute specifies only a high school graduation (or equivalent) plus an exam for certification; no college-level degree is required.	0.9	1,065.00
Certified Court Reporter	https://ccranj.memberclicks.net/frequently-asked-questions	No Degree Found	“In order to become a New Jersey Certified Court Reporter, you must attend a court reporting school in person or online… In NJ, you must pass the RPR exam… and then apply … for a NJ Certified Court Reporter license.”  No mention of any Associate’s, Bachelor’s, or higher degree.	The text outlines only attendance at a court-reporting school and passage of the RPR exam as prerequisites; it never specifies completion of, or graduation with, a college degree. Therefore, no degree requirement is indicated.	0.87	1,021.00
Certified Court Reporter	https://www.courtreporteredu.org/new-jersey/	No Degree Found	"High school diploma or its equivalent; court reporter training"	The text lists only a high school diploma (or equivalent) plus specialized court reporter training as prerequisites; no associate’s, bachelor’s, or higher degree is mentioned or implied for initial licensure.	0.9	986
Certified Court Reporter	https://www.greenriver.edu/consumer-information/professional-licensure.html	No Degree Found	“Professional Certification required for Judicial Court Reporting – State Court Reporter Certification … OR – Registered Professional Reporter (RPR): OR – Registered Skilled Reporter (RSR):”  (no educational degree referenced); the only degree note is state-specific (“Montana: requires degree”), with no mention for New Jersey.	The source lists certification paths (state certification or national certifications) without stating any associate, bachelor’s, or higher-level degree prerequisite for obtaining a Certified/State Court Reporter license; therefore, no college degree requirement is found for initial licensure in the provided text.	0.82	968
Certified Court Reporter	https://legalcareerpath.com/court-reporter-new-jersey/	No Degree Found	"New court reporters must meet the following criteria: ... Hold a high school diploma."	The only explicit educational prerequisite stated is a high school diploma; no associate, bachelor’s, or graduate degree is required or implied for initial licensure.	0.9	926
Certified Court Reporter	http://courtreporterprep.com/court-reporter-certification-new-jersey/	No Degree Found	"Before applying for certification, you need a high school diploma or its equivalent." The text describes completing an NCRA-accredited court reporting program but never states that an associate’s, bachelor’s, or graduate degree is required.	The only explicit educational prerequisite mentioned is a high school diploma; the text does not require or imply completion of any college degree program for initial licensure.	0.83	889
Certified Court Reporter	https://www.simplysteno.com/states.html	No Degree Found	"In addition, NO states require a degree to work as a court reporter, captioner or CART provider." ; "Qualify - Any student can take the RPR exam." (New Jersey section)	The text explicitly states that no states, including New Jersey, require a degree for court reporting. The New Jersey licensure section lists only the RPR exam eligibility without mentioning any associate, bachelor’s, or graduate degree requirement.	0.9	856
Certified Court Reporter	https://www.uslegalsupport.com/blog/types-of-court-reporters-an-overview/	No Degree Found	"Complete a dedicated court reporting associate’s degree or certificate program" — the text allows a certificate program as an alternative to an associate’s degree, so a college degree is not strictly required for licensure.	Because applicants may satisfy the education prerequisite by completing a certificate program instead of an associate’s degree, the license can be obtained without any college degree; therefore, no degree requirement exists.	0.75	825
Certified Court Reporter	https://learn.org/articles/Court_Reporting_in_New_Jersey_Which_Schools_Offer_Courses_to_Become_a_Court_Reporter.html	Could Not Determine	"The level of education you get depends a lot on your state's requirements for licensure or certification, so check on state regulations regarding necessary training before enrolling in a program."  "You'll typically need to have completed a certificate program or earned an associate degree in court reporting to qualify for a job as a court reporter."	The text discusses typical educational paths (certificate or associate degree) but explicitly states that actual licensure requirements vary by state and directs readers to consult state regulations, without specifying what New Jersey demands. Therefore, the minimum degree requirement for New Jersey licensure cannot be determined from the provided information.	0.4	793
Certified Financial Examiner	https://www.sofe.org/education/certified-financial-examiner.html	No Degree Found	Education requirements – Successfully complete three semester hours of a Management course... AND Successfully complete three semester hours of a General Auditing course... (experience may be substituted for the auditing course). No mention of an associate’s, bachelor’s, or graduate degree is stated anywhere in the eligibility criteria.	The text specifies only completion of two individual college-level courses (or experience substitution) and provides no requirement for completing any full academic degree program.	0.9	1,083.00
